x_m,y_m,psi_rad,vx_mps,ax_mps2,ay_mps2
-2.463291818379372700e+01,-1.546774121831399462e+01,-1.557298146118031079e+00,7.518950029287929659e+00,1.555990409204204283e-01,1.857506363414716866e+00
-2.462884550803348560e+01,-1.570290582268310864e+01,-1.549564743828912183e+00,7.596886014036821066e+00,1.556706947111594630e-01,1.891514641244036898e+00
-2.462293529801970493e+01,-1.593786093176789720e+01,-1.541634589493861007e+00,7.674620723999089122e+00,1.545272069715082353e-01,1.912218169996206862e+00
-2.461515502667806743e+01,-1.617224001108861842e+01,-1.533537200517654409e+00,7.751413221008329302e+00,1.516525513523232505e-01,1.910743695434653056e+00
-2.460549015180371768e+01,-1.640585560886447070e+01,-1.525402753906188957e+00,7.826273275351412373e+00,1.465777972985176092e-01,1.878496216498040772e+00
-2.459396597728837008e+01,-1.663870458210769243e+01,-1.517478055934342818e+00,7.897991018306846911e+00,1.389044773388325993e-01,1.809657792750167804e+00
-2.458067019761725192e+01,-1.687092001595225099e+01,-1.510090539437058732e+00,7.965177752690244972e+00,1.283250697495503800e-01,1.703267359940545900e+00
-2.456576372201121572e+01,-1.710270652340395969e+01,-1.503562024818536624e+00,8.026316088056397291e+00,1.146391078503636862e-01,1.564164892550231833e+00
-2.454946868634231549e+01,-1.733429185462788524e+01,-1.498104719390438211e+00,8.079816860540608658e+00,9.776367690206555494e-02,1.402548183392357206e+00
-2.453203304831423281e+01,-1.756591324306625168e+01,-1.493745937052408435e+00,8.124079764958462846e+00,7.773769205216041200e-02,1.232537060926482075e+00
-2.451368217055047793e+01,-1.779782836864255557e+01,-1.490314497609767308e+00,8.157554552592769070e+00,5.472016191257544904e-02,1.070612761863095619e+00
-2.449457491196780978e+01,-1.803033143046360109e+01,-1.487511182967900858e+00,8.178799926871038295e+00,2.898306861955290969e-02,9.346021874459283785e-01
-2.447478953854170314e+01,-1.826372977034146672e+01,-1.485053640713922762e+00,8.186537621212321980e+00,8.995954570298891895e-04,8.429218649710947808e-01
-2.445435642563477430e+01,-1.849824164291588602e+01,-1.482846082499604146e+00,8.179699522328068184e+00,-2.907145293603008440e-02,8.126997979097826397e-01
-2.443333732450862428e+01,-1.873382826966953729e+01,-1.481102244691452352e+00,8.157466168276291896e+00,-6.040402258649102407e-02,8.553353439030639827e-01
-2.441192366481956100e+01,-1.897005547750179844e+01,-1.480358756613188831e+00,8.119295499741577160e+00,-9.252484714691178169e-02,9.700056035540304267e-01
-2.439050765947223454e+01,-1.920611908800783496e+01,-1.481357376777359791e+00,8.064941321129380114e+00,-1.248340251757138475e-01,1.138151010547497233e+00
